EB 4-2-3;Lolium perenne;;;;;;;;;3;;;5;;;;;;
EB 4-3-3;Veronica hederifolia;;;;;;;;;;;;;;;;;3;
EB 4-3-3;Agrostis capillaris;;;;;;;;;;;;8;;7;8;7;2;
EB 4-3-3;Festuca rubra;;;;;;;;;;;;;;;;1;;
EB 4-3-3;Lolium perenne;;;;;;;;2;3;1;;;;;;;;
EB 4-3-3;Taraxacum officinale;;1;;2;1;1;1;;;;;;;;;;;
EB 4-3-3;Veronica chamaedrys;;;;;;;;;1;;;;;;;;;
EB 4-4-3;Veronica persica;;;;;;;;;;;;;;1;3;7;4;4
EB 4-4-3;Leontodon helveticus;;;;;;;;;;;;1;;;;;;
EB 4-4-3;Taraxacum officinale;;;;;1;2;2;1;;;;;;;;;;
FE 1-2-1;Veronica hederifolia;;;;;;;;;1;;;2;3;;;1;1;
FE 1-2-1;Alopecurus pratensis;;;;;;;;;;;;;2;;1;1;1;
FE 1-2-1;Dactylis glomerata;;;;;2;;;;;;;;;;;;;
FE 1-2-1;Draba verna;;;;;;;;;;;;5;;;8;1;10;50
FE 1-2-1;Festuca rubra;;;;;;;;;;;;;2;;5;10;;
FE 1-2-1;Pilosella piloselloides;;;;;;;;;;;;2;;;;;1;
FE 1-2-1;Poa pratensis;;;;;;;;;;;;1;1;;;;;
FE 1-2-1;Ranunculus acris;;;;;;3;19;7;;;;;;;;;;
FE 1-2-3;Taraxacum officinale;;;;;;;;;;;;;;;;51;51;20
FE 1-2-3;Elymus repens;;;;;;;;;;;;;;;1;;;
FE 1-4-1;Poa pratensis;;;;;2;;;;;;;;;;;;;
FE 1-4-1;Draba verna;;;;;;;;;;;;3;3;5;65;75;75;20
FE 1-4-2;Festuca rubra;;;;;;;;;;;;;;;;2;2;
FE 1-4-2;Arrhenatherum elatius;;;;;;;;;;;;;1;1;3;1;1;
FE 1-4-2;Dactylis glomerata;;;;;;;;;;;;;;;;;;1
FE 1-4-2;Elymus repens;;;;;;;;;;;;;4;5;6;5;5;
FE 1-4-2;Festuca rubra;;;;;;;;;;;;;;;1;;4;1
FE 1-4-2;Holcus lanatus;;;;;;;7;30;;;;;;;;;;
FE 1-4-3;Taraxacum officinale;;;;;;;;;;;;5;5;3;2;;;
FE 1-4-3;Poa pratensis;;;;;;2;16;9;1;;;;;;;;;
FE 1-4-3;Taraxacum officinale;;;;;;;;;;;;;;;2;;;
FE 1-6-2;Vicia sepium;;;;;;;;;;;;;;;3;2;2;
FE 1-6-2;Lolium perenne;;;;;;;;;;;2;;2;;3;;5;
FE 1-6-2;Plantago lanceolata;;;;;;;2;20;2;;;;;;;;;
FE 1-6-3;Taraxacum officinale;;;;;;;;;;;;;;;;2;5;2
FE 1-6-3;Achillea millefolium;;;;;;;;;;;;;;;4;1;;
FE 1-6-3;Lolium perenne;;;;;;;;;;;;1;3;17;12;12;12;
FE 1-6-3;Poa pratensis;;;;;;;3;10;;;;;;;;;;
FE 1-6-3;Taraxacum officinale;;;;;1;;;;;;;;;;;;;
FE 1-7-1;Veronica hederifolia;;;;;;;;;;;;;;;;4;12;5
FE 1-7-1;Elymus repens;;;;;;;;;;;;4;4;8;2;8;5;3
FE 1-7-1;Festuca rubra;;;;;;1;;;;;;;;;;;;
FE 1-7-1;Ranunculus ficaria;;;1;3;10;4;6;;;;;;;;;;;
FE 1-7-1;Veronica chamaedrys;;;;3;;;;;;;;;;;;;;
FE 1-7-1;Veronica hederifolia;;;;;;;;6;;;;;;;;;;
FE 2-1-1;Veronica persica;;;;;;;;;;;;3;2;1;1;1;1;1
FE 2-1-1;Alchemilla vulgaris;;;;;;;;;;;;;;;1;1;;1
FE 2-1-1;Anthoxanthum odoratum;;;;;;;;;;;;2;1;;30;30;25;23
FE 2-1-1;Lolium perenne;;;;;;;;;;;;;;;;;1;
FE 2-1-2;Nigella damascena;;;;;;;;;;;;3;1;1;1;;;
FE 2-1-2;Alopecurus pratensis;;;;;;;;;;;;;7;;13;19;1;
