plotID;origin;recipient;65;72;79;87;93;100;107;114;122;128;135;142;148;156;163;170;175;183;190
EB 1-2-3;EB;EB;;;;;;;;;;;30;75;90;95;100;100;100;100;100
EB 1-8-4;EB;EB;;;;;;;;;;;30;75;95;97;100;100;100;100;100
EB 1-6-4;EB;EB;;;;;;;;;;;30;70;97;100;100;100;100;100;100
EB 1-5-3;EB;EB;;;;;;;;;;;30;70;95;97;100;100;100;100;100
EB 1-3-4;EB;EB;;;;;;;;;;;30;75;90;95;100;100;100;100;100
EB 2-2-3;EB;EB;;;;;;;;;;;30;75;95;95;100;100;100;100;100
EB 2-7-3;EB;EB;;;;;;;;;;;25;70;93;95;100;100;100;100;100
EB 2-2-2;EB;EB;;;;;;;;;;;20;65;90;94;100;100;100;100;100
EB 2-9-4;EB;EB;;;;;;;;;;;30;70;90;93;100;100;100;100;100
EB 2-4-1;EB;EB;;;;;;;;;;;30;75;90;95;100;100;100;100;100
EB 2-4-4;EB;EB;;;;;;;;;;;20;50;90;98;100;100;100;100;100
EB 2-7-2;EB;EB;;;;;;;;;;;30;80;95;98;100;100;100;100;100
EB 2-5-1;EB;EB;;;;;;;;;;;30;80;95;98;100;100;100;100;100
EB 2-6-3;EB;EB;;;;;;;;;;;30;70;85;95;100;100;100;100;100
EB 3-3-3;EB;EB;;;;;;;;;;;30;70;87;95;100;100;100;100;100
EB 3-3-1;EB;EB;;;;;;;;;;;30;70;85;95;100;100;100;100;100
EB 3-7-3;EB;EB;;;;;;;;;;;20;50;85;90;100;100;100;100;100
EB 3-6-4;EB;EB;;;;;;;;;;;20;55;85;93;100;100;100;100;100
EB 3-3-2;EB;EB;;;;;;;;;;;20;65;90;95;100;100;100;100;100
EB 3-6-1;EB;EB;;;;;;;;;;;30;80;93;93;100;100;100;100;100
EB 3-6-3;EB;EB;;;;;;;;;;;30;75;90;95;100;100;100;100;100
EB 3-6-2;EB;EB;;;;;;;;;;;30;80;95;100;100;100;100;100;100
EB 3-3-4;EB;EB;;;;;;;;;;;30;75;87;97;100;100;100;100;100
EB 1-5-2;EB;GW;;;;1;3;15;50;75;80;90;98;100;100;100;100;100;100;100;100
EB 1-8-1;EB;GW;;;;3;3;15;30;65;80;95;98;100;100;100;100;100;100;100;100
EB 1-1-2;EB;GW;;;;1;3;20;40;75;90;100;100;100;100;100;100;100;100;100;100
EB 1-4-2;EB;GW;;;;1;3;25;55;50;90;98;98;100;100;100;100;100;100;100;100
EB 1-1-1;EB;GW;;;;5;5;45;60;80;85;90;100;100;100;100;100;100;100;100;100
EB 1-8-2;EB;GW;;;;2;3;10;20;50;75;85;88;95;95;100;100;100;100;100;100
EB 1-4-1;EB;GW;;;;1;3;25;50;70;85;95;95;98;98;100;100;100;100;100;100
EB 1-5-1;EB;GW;;;;1;3;10;25;50;75;90;95;95;98;100;100;100;100;100;100
EB 1-6-1;EB;GW;;;;1;5;25;50;60;80;90;93;95;97;100;100;100;100;100;100
EB 2-4-3;EB;GW;;;;3;5;40;65;80;90;95;98;98;100;100;100;100;100;100;100
EB 2-5-3;EB;GW;;;;5;7;45;50;80;90;98;98;100;100;100;100;100;100;100;100
EB 2-2-4;EB;GW;;;;1;3;10;40;60;80;100;100;100;100;100;100;100;100;100;100
EB 2-1-2;EB;GW;;;;15;10;50;75;85;90;98;100;100;100;100;100;100;100;100;100
EB 2-3-1;EB;GW;;;;5;5;40;60;75;95;100;100;100;100;100;100;100;100;100;100
EB 2-1-4;EB;GW;;;;3;3;30;60;85;95;100;100;100;100;100;100;100;100;100;100
EB 2-7-4;EB;GW;;;;5;5;30;55;80;95;100;100;100;100;100;100;100;100;100;100
EB 2-8-2;EB;GW;;;;10;10;60;75;90;100;100;100;100;100;100;100;100;100;100;100
EB 2-3-4;EB;GW;;;;3;5;20;50;75;80;95;98;100;100;100;100;100;100;100;100
EB 3-5-2;EB;GW;;;;15;15;45;70;80;90;100;95;100;100;100;100;100;100;100;100
EB 3-2-3;EB;GW;;;;5;7;40;60;70;90;93;95;97;100;100;100;100;100;100;100
EB 3-5-4;EB;GW;;;;8;7;35;50;55;75;80;80;80;85;100;100;100;100;100;100
EB 3-7-2;EB;GW;;;;5;10;30;55;60;80;85;95;95;97;100;100;100;100;100;100
EB 3-2-2;EB;GW;;;;1;3;25;50;70;95;98;100;100;100;100;100;100;100;100;100
EB 3-5-1;EB;GW;;;;5;3;35;50;55;80;90;95;100;100;100;100;100;100;100;100
EB 3-2-1;EB;GW;;;;3;3;35;55;75;90;100;100;100;100;100;100;100;100;100;100
EB 3-2-4;EB;GW;;;;3;3;15;30;65;90;98;98;100;100;100;100;100;100;100;100
EB 3-5-3;EB;GW;;;;3;3;25;50;75;90;97;100;100;100;100;100;100;100;100;100
GW 1-7-2;GW;GW;;;;15;15;30;50;60;70;90;90;97;97;98;100;100;100;100;100
GW 1-2-2;GW;GW;;;;10;15;30;45;55;65;80;85;90;95;97;100;100;100;100;100
GW 1-3-1;GW;GW;;;;8;10;30;60;75;85;95;95;95;95;95;100;100;100;100;100
GW 1-5-1;GW;GW;;;;10;10;50;55;70;80;90;90;95;95;95;100;100;100;100;100
GW 1-9-1;GW;GW;;;;3;5;20;25;55;65;90;90;95;95;93;100;100;100;100;100
GW 1-8-3;GW;GW;;;;3;5;20;25;50;60;75;75;80;85;93;100;100;100;100;100
GW 1-4-2;GW;GW;;;;15;15;45;60;75;80;90;93;97;97;95;100;100;100;100;100
GW 1-1-3;GW;GW;;;;10;10;40;50;70;80;97;95;97;97;98;100;100;100;100;100
GW 1-6-3;GW;GW;;;;2;7;40;45;60;75;90;85;95;95;100;100;100;100;100;100
GW 2-7-2;GW;GW;;;;8;5;25;45;55;70;85;85;90;95;95;100;100;100;100;100
GW 2-2-2;GW;GW;;;;10;5;30;40;70;80;95;90;93;95;95;100;100;100;100;100
