Bellis perennis;EB 2-7-3;;;;;;;;;
Bistorta officianilis;EB 2-7-3;;;;;;;;;
Briza media;EB 2-7-3;;;;;;;;;
Cardamine amara;EB 2-7-3;;;;;;;;;
Cardamine hirsuta;EB 2-7-3;;;;;;;;;
Carex humilis;EB 2-7-3;;;;;;;;;
Carex montana;EB 2-7-3;;;;;;;;;
Carex spicata cf;EB 2-7-3;;;;;;;;;
Carex sylvatica;EB 2-7-3;;;;;;;;;
Carum carvi;EB 2-7-3;;;;;;;;;
Centaurea jacea;EB 2-7-3;;;;;;;;;
Cerastium holosteoides;EB 2-7-3;;;;;;;;;
Chaerophyllum temulum;EB 2-7-3;;;;;;4;3;2;
Crepis aurea;EB 2-7-3;;;;;;;;;
Crepis biennis;EB 2-7-3;;;;;;;;;
Crocus albiflorus;EB 2-7-3;;;;;;;;;
Cynosurus cristatus;EB 2-7-3;;;;;;;;;
Dactylis glomerata;EB 2-7-3;;;;;;;;;
Daucus carota;EB 2-7-3;;;;;;;;;
Deschampsia flexuosa;EB 2-7-3;;;;;;;;;
Draba verna;EB 2-7-3;;;;;;;;;
Elymus caninus;EB 2-7-3;;;;;;;;;
Elymus repens;EB 2-7-3;;;;;;;;;
Equisetum arvense;EB 2-7-3;;;;;;;;;
Euphrasia stricta;EB 2-7-3;;;;;;;;;
Festuca pratensis;EB 2-7-3;;;;;;;8;7;7
Festuca rubra;EB 2-7-3;;;;;;;;;
Filipendula ulmaria;EB 2-7-3;;;;;;;;;
Galium album;EB 2-7-3;;;;;;;;;
Geranium rotundifolium;EB 2-7-3;;;;;;;;;
Geum rivale;EB 2-7-3;;;;;;;;;
Geum urbanum;EB 2-7-3;;;;;;;;;
Glechoma hederacea;EB 2-7-3;;;;;;;;;
Helictotrichon pubescens;EB 2-7-3;;;;;;;;;
Heracleum sphondylium;EB 2-7-3;;;;;;;;;
Hieracium aurantiacum;EB 2-7-3;;;;;;;;;
Hieracium Macranthum;EB 2-7-3;;;;;;;;;
Hieracium pilosella ;EB 2-7-3;;;;;;;;;
Holcus lanatus;EB 2-7-3;;;;;;;;;
